id;provider_number;provider;description;start_date;expiry_date
1;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;2019-11-14;2019-11-14
2;Jamaica Credit Card Account;Gorgeous Rubber Pants Cheese;Garden;2019-11-15;2019-11-15
3;Small;JBOD;Shoes Music connect;2019-11-14;2019-11-14
4;Shoes systems;Generic Frozen Tuna HTTP;implement;2019-11-14;2019-11-14
5;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;2019-11-14;2019-11-14
6;deposit Station;parsing Investment Account;Branding Dynamic black;2019-11-15;2019-11-15
7;utilize;Generic;robust withdrawal generate;2019-11-14;2019-11-15
8;open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;2019-11-14;2019-11-14
9;Specialist China deliverables;multi-byte Producer;Cotton Robust;2019-11-14;2019-11-15
10;Infrastructure SSL bandwidth;application Configurable iterate;Berkshire navigating;2019-11-15;2019-11-15
